nm0072038 | Roy Bennett
nm0072344 | Abraham Benrubi
nm0074732 | Alan Bergman
nm0074797 | Jeff Bergman
nm0075528 | Greg Berlanti
nm0075710 | François Berléand
nm0075849 | Shari Springer Berman
nm0076227 | Gene Bernard
nm0076302 | Lili Bernard
nm0076578 | Christopher Bernau
nm0076780 | Daniel Bernhardt
nm0076791 | Kevin Bernhardt
nm0076795 | Melvin Bernhardt
nm0078712 | Dominique Besnehard
nm0079677 | Tim Bevan
nm0080049 | Yasiin Bey
nm0080601 | Ed Bianchi
nm0081182 | Joe Biden
nm0081279 | Rick Bieber
nm0081730 | Daniel Bigel
nm0083541 | Raye Birk
nm0083851 | Sam Bisbee
nm0084207 | Todd Bishop
nm0085116 | Tommy Blacha
nm0085257 | Dustin Lance Black
nm0085312 | Jack Black
nm0086014 | Richard Blade
nm0086706 | Robert Blake
nm0088121 | Jeff Bleckner
nm0088127 | Alexis Bledel
nm0088298 | Corbin Bleu
nm0088550 | Andy Blitz
nm0089217 | Orlando Bloom
nm0089244 | Verna Bloom
nm0089658 | Jason Blum
nm0089772 | Colin Blumenau
nm0090799 | Michael Boddicker
nm0090981 | Wolfgang Bodison
nm0091899 | Eric Bogosian
nm0093428 | Michael Bolton
nm0093589 | Matt Bomer
nm0093614 | Seth Bomse
nm0095104 | Bono
nm0095498 | Dave Boone
nm0096013 | Mark Borchardt
nm0096157 | Robert Borden
nm0099084 | Patrick Bouchitey
nm0101428 | Alan Bowne
nm0102784 | Bill Bracken
nm0103750 | Wayne Brady
nm0105232 | Richard Branson
nm0105672 | Andre Braugher
nm0106728 | Danny Breen
nm0108287 | Jordana Brewster
nm0108808 | Bridget Powers
nm0109534 | Conrad V. Brink Jr.
nm0111021 | Bruce Brody
nm0111315 | Valri Bromfield
nm0111391 | Henry Bronchtein
nm0113140 | Bobby Brown
nm0113240 | Cheryl Brown
nm0113360 | David Brown
nm0113512 | Ellen Brown
nm0113845 | Jim Brown
nm0114256 | Mel B
nm0114363 | O. Nicholas Brown
nm0115010 | Jackson Browne
nm0115161 | Emily Browning
nm0115310 | William Broyles Jr.
nm0116782 | Bud W. Brutsman
nm0116901 | Billy Bryan
nm0117022 | Zachery Ty Bryan
nm0118383 | Karina Friend Buck
nm0119785 | Bobby Bukowski
nm0121902 | Will Burke
nm0122693 | Irene Burns
nm0122716 | Jere Burns
nm0122987 | Bill Burr
nm0123488 | David Burtka
nm0123643 | Lance Burton
nm0124792 | Dick Butkus
nm0124930 | Gerard Butler
nm0124991 | Joshua Butler
nm0126170 | Ed Byrne
nm0126284 | Rose Byrne
nm0127373 | Louis C.K.
nm0128370 | Harry Caesar
nm0129828 | Anthony Caleca
nm0130492 | John Calley
nm0131647 | Kirk Cameron
nm0132709 | Martin Campbell
nm0133540 | Antonio Canales
nm0133899 | Guillaume Canet
nm0134072 | Bobby Cannavale
nm0134244 | Nick Cannon
nm0135346 | Michael Capone
nm0135750 | Scott Capurro
nm0136262 | Lorenzo Carcaterra
nm0136550 | Sam Cardon
nm0136797 | Steve Carell
nm0137272 | Jann Carl
nm0138122 | Robyn Carlsson
nm0138761 | Andrea Carnevali
nm0139111 | Glenn Gordon Caron
nm0139743 | Jimmy Carr
nm0141448 | Alan Carter
nm0141617 | Finn Carter
nm0142749 | Cort Casady
nm0142972 | Amira Casar
nm0143295 | Max Casella
nm0143426 | George Casey
nm0146541 | Jo Caulfield
nm0146915 | Tom Cavanagh
nm0147307 | Candis Cayne
nm0148418 | Michael Cera
nm0149260 | Alain Chabat
nm0154074 | Vernon Chatman
nm0154877 | Douglas Cheek
nm0159073 | Ronald Chong
nm0159507 | Stephen Chow
nm0159789 | Hayden Christensen
nm0159918 | Todd Christensen
nm0162906 | Tommy Citera
nm0165101 | Patricia Clarkson
nm0165159 | Kevin Clash
nm0166870 | Rachel Cline
nm0167086 | Eric Close
nm0169325 | David Steven Cohen
nm0169403 | Greg Cohen
